id,type,date,text
39,message,2017-04-26T12:09:26,"Агов, привіт всім!

Побратими, 15 квітня ми публікували голосування за найкращу заставку для відеороликів Національного Корпусу.

; 
; 

Отже, ми остаточно хочемо дізнатися вашу думку, чи подобається ця заставка всім.
Голосуйте:
👍 - класна заставка!
👎 - мені заставка не подобається!

Також можете висловити свою думку щодо заставки в чаті (посилання нижче)
👇👇👇👇👇👇"
40,message,2017-04-26T14:47:09,"Друзі!

Наші побратими з ;  розпочали кампанію ; 

Перейдіть за посиланням нижче і поширте їхній допис. Наперед дякуємо за допомогу."
41,message,2017-04-26T16:01:14,"
27 квітня 2017 року в місті Києві відбудеться II міжнародна конференція групи сприяння розбудові Адріатично-Балто-Чорноморського союзу (Інтермаріуму)

Пряму трансляцію можете переглянути за посиланням:
"
42,message,2017-04-26T17:08:03,"Друзі, ми вирішили, що від сьогодні публікуватимемо короткі опитування щодо нашого Руху, нашого світогляду та ідеології.

Отже, перше наше опитування:

; 

Варіанти відповідей:
😁 - політична партія
🙃 - громадська організація
😛 - спільнота за інтересами
😊 - двіж раді двіжа, кіпіш раді кіпіша"
43,message,2017-04-26T19:47:58,"Ану, друзі, повторіть по ;  у фейсбуці те саме, що ви робили вконтакті.

Даємо підказу: треба зробити репост запису."
44,message,2017-04-27T11:08:15,"Агов, привіт всім.

Прямо зараз в Києві в Українському домі проходить ; 

Посилання напряму трансляцію подано нижче
👇👇👇👇👇👇

"
45,message,2017-04-27T12:53:11,"Друзі. Дякуємо всім хто переглядав нашу пряму трансляцію.

О 14.00 в нас буде продовження конференції. Посилання на трансляцію другої частини конференції буде надано пізніше.

; 

Питання надсилати за посиланням нижче
👇👇👇👇👇👇"
46,message,2017-04-27T14:29:44,"Продовжуємо пряму трансліцію Інтермаріуму.
; 
👇👇👇👇👇👇"
47,message,2017-04-27T14:44:11,"

Технічні несправності виправлено і в нас є трансляція і на фейсбуці. Посилання нижче."
48,message,2017-05-01T21:35:20,"

29 та 30 квітня 2017 року на Черкащині відбулися вшанування героїв Холодного Яру. Співорганізаторами вшанування стали і представники Національного Корпусу.
Відео з вшанувань дивіться за посиланням:
"
49,message,2017-05-02T13:47:52,"
Вночі, 2 травня, в місті Дніпро Олександр Вілкул планував провести ''вшанування пам'яті'' спалених в Одесі сепаратистів у 2014 році. Спільними силами активістів проплачений шабаш сепаратистів під охороною чергових тітушок-гастролерів був зірваний.

Більшеза посиланням:
"
50,message,2017-05-09T09:07:00,"

8 ТРАВНЯ - ДЕНЬ ЖАЛОБИ ЗА ПОЛЕГЛИМИ ПІД ЧАС ДРУГОЇ СВІТОВОЇ ВІЙНИ 

Історія дає нам найвеличніший скарб - досвід. Знати свою історію - пам'ятати і робити висновки для майбутніх вчинків. 

Україна втратила у Другій Світовій війні за різними джерелами від 5 млн до 7 млн людей. Тому 8 травня було названо ""Днем пам'яті"", аби не забувати про те, що кожна війна - це в першу чергу біль від втрачених життів. 

Тож саме 8 травня Національний Корпус визначає як день скорботи за полеглими і віддає шану тим, хто пожертвував собою за майбутнє прийдешніх поколінь. 

Пам'ятаємо!"
51,message,2017-05-10T13:54:52,"

Сьогодні, 10.05.2017 Національний Корпус міста Дніпро проводитиме акцію проти ""тітушок"" і ""беркуту"", які вчора 9.05.2017 побили учасників АТО. Активісти скликають максимальний терміновий збір біля Обласного управління Національної поліції (вул. Троїцька, 20 А) о 18.00.

Прохання до всіх у цьому чат-каналі, поширте (зробіть репост) відповідні записи у соціальних мережах фейсбук і вконтакті. По можливості просимо прийти на акцію.

Посилання на відповідні публікації в соціальних мережах подано нижче
👇👇👇👇👇👇"
52,message,2017-05-13T13:56:01,"Всім привіт!

Друзі! Наші побратими створили крутий проект ;  - класний націоналістичний інтернет-журнал.

Заходьте, підписуйтесь, читайте, ставте лайки, репостіть і коментуйте!

Всі деталі описані нижче
👇👇👇👇👇👇"
